127.0.0.1 - - [07/Apr/2024:17:00:39 +0900] "GET / HTTP/1.1" 200 8455
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:14:37 +0900] "GET / HTTP/1.1" 200 8455
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:14:37 +0900] "GET /post_inc/bootstrap/animate.min.css HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:14:37 +0900] "GET /resources/images/nollaeng1_white.png HTTP/1.1" 200 11521
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:14:37 +0900] "GET /resources/images/login_icon_white.png HTTP/1.1" 200 2287
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:14:37 +0900] "GET /resources/css/open.css HTTP/1.1" 200 5620
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:14:37 +0900] "GET /resources/css/index.css HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:14:37 +0900] "GET /resources/js/login.js HTTP/1.1" 200 3101
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:14:37 +0900] "GET /resources/images/copy1.jpg HTTP/1.1" 200 1242037
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:14:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:14:53 +0900] "GET /? HTTP/1.1" 200 8455
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:14:53 +0900] "GET /post_inc/bootstrap/animate.min.css HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:15:06 +0900] "GET /main.jsp HTTP/1.1" 200 12686
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:15:06 +0900] "GET /resources/css/bootstrap.css HTTP/1.1" 200 216588
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:15:06 +0900] "GET /resources/js/bootstrap.js HTTP/1.1" 200 153942
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:15:06 +0900] "GET /resources/images/logo.png HTTP/1.1" 200 14113
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:15:06 +0900] "GET /resources/images/login.png HTTP/1.1" 200 1791
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:15:06 +0900] "GET /resources/css/style.css HTTP/1.1" 200 19023
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:15:06 +0900] "GET /resources/images/bigslide1.png HTTP/1.1" 200 995149
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:15:06 +0900] "GET /resources/images/bigslide2.png HTTP/1.1" 200 217137
